Open;High;Low;Close;Adj Close;Volume;LN(Hi/Lw)^2;20DPark;LN(CC)^2;;;;
6741.799805;6835.600098;6739.600098;6739.600098;6739.600098;609600;0.000200044;0.007207881;1.83394E-05;0.009482125;;0.114421565;0.150524073
6741.700195;6810;6741.700195;6771.200195;6771.200195;733600;0.000101606;0.007171102;2.18815E-05;0.009339878;;0.113837714;0.148265973
6776.100098;6806.5;6714.100098;6714.100098;6714.100098;619800;0.000186821;0.00734214;7.17163E-05;0.009458157;;0.116552862;0.150143581
6711.600098;6756.700195;6648.600098;6713.899902;6713.899902;665900;0.000260122;0.007618091;8.89089E-10;0.009455557;;0.120933453;0.150102308
6736.899902;6783;6736.600098;6766.799805;6766.799805;468300;4.71162E-05;0.007609357;6.15955E-05;0.009511441;;0.1207948;0.150989444
6765.299805;6793.5;6727.5;6773;6773;484500;9.53097E-05;0.007574589;8.38777E-07;0.00929366;;0.120242877;0.147532283
6773;6858.899902;6767.799805;6827.100098;6827.100098;587100;0.000178784;0.007727189;6.3296E-05;0.009331229;;0.12266532;0.148128663
6827.100098;6827.100098;6761.399902;6795.200195;6795.200195;603800;9.35098E-05;0.007698403;2.19351E-05;0.009332034;;0.122208356;0.148141449
6795.200195;6806.200195;6744.5;6745.899902;6745.899902;715600;8.29308E-05;0.007754925;5.30219E-05;0.009472985;;0.123105611;0.150378969
6731.799805;6740.899902;6673.700195;6708.200195;6708.200195;1245600;0.00010038;0.007528101;3.14072E-05;0.009068733;;0.119504894;0.143961668
6708;6763.399902;6688.200195;6752.5;6752.5;472000;0.000125013;0.007611307;4.33243E-05;0.009177555;;0.120825752;0.14568917
6757.799805;6786.200195;6741.299805;6745.399902;6745.399902;518800;4.40685E-05;0.007523176;1.10677E-06;0.008978772;;0.119426713;0.142533583
6741.799805;6799.100098;6735.600098;6778.799805;6778.799805;503000;8.80474E-05;0.007476509;2.43966E-05;0.008818828;;0.118685899;0.139994551
6772.799805;6806;6769.899902;6790.600098;6790.600098;557700;2.8284E-05;0.007400156;3.02499E-06;0.008632124;;0.117473831;0.137030717
6790.600098;6835;6790.600098;6824.200195;6824.200195;571500;4.24733E-05;0.0069472;2.43624E-05;0.006886213;;0.110283379;0.109315245
6824.200195;6860.600098;6794.100098;6799.5;6799.5;502100;9.48737E-05;0.006666452;1.31484E-05;0.005757743;;0.105826641;0.091401338
6807;6836.299805;6738.399902;6738.399902;6738.399902;513800;0.000208055;0.006665579;8.14793E-05;0.006034395;;0.105812793;0.095793054
6756.399902;6862.600098;6755;6790.700195;6790.700195;717600;0.000249748;0.006940045;5.97771E-05;0.006003183;;0.110169797;0.09529758
6800.700195;6830.399902;6783.299805;6828.700195;6828.700195;473200;4.78801E-05;0.006711829;3.11396E-05;0.005833846;;0.106546989;0.09260943
6848.399902;6915.700195;6848.399902;6885.899902;6885.899902;517500;9.56324E-05;0.006538535;6.95803E-05;0.005896491;;0.103796019;0.093603895
6890;6933.899902;6889.399902;6928;6928;612700;4.14533E-05;0.006316049;3.71532E-05;0.005975726;;0.100264162;0.094861707
6941.600098;7012.399902;6941.600098;6998.799805;6998.799805;543900;0.000102976;0.006318004;0.000103378;0.006307467;;0.100295199;0.100127929
6996.899902;6998.299805;6965.5;6995.200195;6995.200195;425900;2.20697E-05;0.006078331;2.64659E-07;0.006017604;;0.09649051;0.095526499
6996.700195;6996.700195;6957.399902;6974;6974;405100;3.17285E-05;0.005729513;9.21292E-06;0.006055754;;0.090953201;0.096132115
6975.299805;6998;6962.899902;6976.899902;6976.899902;507300;2.52843E-05;0.005695052;1.72831E-07;0.005796639;;0.090406141;0.092018788
6983.700195;7027.399902;6980.100098;7023.100098;7023.100098;576400;4.56101E-05;0.005615812;4.35607E-05;0.005978053;;0.089148252;0.094898648
7033.5;7071.5;6988.600098;7058.600098;7058.600098;686700;0.00013906;0.005551663;2.54219E-05;0.005817509;;0.088129921;0.092350093
7063.600098;7066.399902;7030.100098;7063.5;7063.5;627000;2.65245E-05;0.00544178;4.81544E-07;0.005724573;;0.086385585;0.090874776
7069;7094.799805;7065.600098;7065.600098;7065.600098;473500;1.70085E-05;0.005331431;8.8371E-08;0.005488539;;0.084633838;0.087127855
